업종명,인허가일자,업소명,도로명주소,영업장면적,영업자시작일,업태명
일반음식점,1991-02-28,수향식당,"서울특별시 성동구 행당로17길 26, 1층 (행당동, 292-34)",42.88,2012-09-17,한식
일반음식점,1991-05-17,행당닭한마리,서울특별시 성동구 행당로17길 18 (행당동),24.62,1995-09-21,한식
일반음식점,1991-01-19,마포숯불갈비,서울특별시 성동구 동일로 75-33 (성수동2가),43.08,1991-01-19,한식
일반음식점,1991-06-07,천수곱창,서울특별시 성동구 아차산로 96 (성수동2가),87.12,2010-04-13,한식
일반음식점,1991-10-14,둘둘치킨,"서울특별시 성동구 금호로 58, 1층 (금호동1가)",56.31,2009-05-25,통닭(치킨)
일반음식점,1992-03-10,굿누리,서울특별시 성동구 서울숲9길 15-1 (성수동1가),81.14,2005-06-13,경양식
일반음식점,1992-06-10,국일돼지왕갈비살,서울특별시 성동구 아차산로 122 (성수동2가),64.8,1996-12-07,한식
일반음식점,1992-04-01,영동식당,서울특별시 성동구 동일로 99 (성수동2가),19.42,1992-04-01,한식
일반음식점,1992-12-02,싱싱오징어바다,서울특별시 성동구 마조로7길 6 (행당동),82.34,2008-03-28,일식
일반음식점,1993-04-10,진지방순대국,서울특별시 성동구 광나루로 290 (성수동2가),22.44,2007-06-14,호프/통닭
일반음식점,1993-09-15,왕삼겹찌개집,"서울특별시 성동구 상원길 49, 지상1층 (성수동1가, 656-388)",30.38,2012-05-09,한식
일반음식점,1993-09-27,왕십리주먹고기집,서울특별시 성동구 행당로17길 13 (행당동),14.84,2002-07-24,한식
일반음식점,1993-01-09,투데이,서울특별시 성동구 아차산로 87 (성수동2가),33.53,1997-12-12,호프/통닭
일반음식점,1993-07-26,다모아뷔페,"서울특별시 성동구 광나루로8길 11, 2층 (성수동2가)",240.62,1997-11-05,한식
일반음식점,1985-03-28,금수원,서울특별시 성동구 금호로 47-1 (금호동4가),62.64,1994-09-01,중국식
일반음식점,1993-05-19,삼겹살앤낙지,서울특별시 성동구 마장로27길 2 (마장동),81.97,2011-02-17,한식
일반음식점,1993-08-02,땡초꼼장어숯불구이,서울특별시 성동구 왕십리로 257 (행당동),27.01,2006-12-15,한식
일반음식점,1993-08-02,남원추어탕,서울특별시 성동구 왕십리로21가길 1 (행당동),27.74,2002-03-25,한식
일반음식점,1993-07-27,전주식당,서울특별시 성동구 금호산길 71 (금호동2가),68.16,1993-07-27,한식
일반음식점,1993-08-26,유향소,서울특별시 성동구 광나루로 248-1 (성수동2가),134.28,2009-09-29,중국식
일반음식점,1993-12-28,문화반점,서울특별시 성동구 광나루로 307 (송정동),35.52,2006-03-06,중국식
일반음식점,1993-07-30,돼지네,서울특별시 성동구 연무장7길 12 (성수동2가),90.9,1999-02-13,한식
일반음식점,1993-05-26,순천식당,서울특별시 성동구 왕십리로24길 9-1 (도선동),14.88,2008-06-05,한식
일반음식점,1993-08-17,피자스쿨(용답점),서울특별시 성동구 용답중앙15길 15 (용답동),27.02,2008-03-31,패스트푸드
일반음식점,1994-11-09,로스2000,서울특별시 성동구 왕십리로19길 6 (행당동),39.89,2005-06-24,한식
일반음식점,1994-03-31,먹거리소곱창,서울특별시 성동구 장터길 30 (금호동4가),20.16,2011-02-18,한식
일반음식점,1994-09-09,한양대양꼬치,서울특별시 성동구 마조로1가길 20 (행당동),40.92,2010-03-09,한식
일반음식점,1994-05-17,먹거리식당,서울특별시 성동구 장터길 51 (금호동3가),31.5,1994-05-17,한식
일반음식점,1994-09-03,양자강,"서울특별시 성동구 고산자로22길 11 (마장동,,6)",114.84,2000-04-01,중국식
일반음식점,1994-09-16,덕수식당,서울특별시 성동구 뚝섬로4길 10 (성수동1가),22.97,2000-10-25,한식
일반음식점,1994-11-01,가마솥추어탕,서울특별시 성동구 뚝섬로4길 11 (성수동1가),64.42,2008-12-08,한식
일반음식점,1994-05-12,실비식당,서울특별시 성동구 성덕정9길 7 (성수동1가),37,1994-05-12,한식
일반음식점,1994-11-17,대도한식,서울특별시 성동구 용답중앙13길 15 (용답동),29.2,2006-08-02,한식
일반음식점,1994-09-17,송범식당,서울특별시 성동구 왕십리로5길 19 (성수동1가),24.82,1995-04-19,한식
일반음식점,1984-12-10,진미식당,서울특별시 성동구 연무장길 26 (성수동2가),79,2007-11-29,한식
일반음식점,1994-02-26,주물럭꼼장어,"서울특별시 성동구 마조로 17, B동 40호 (행당동,지상1층)",26.8,2008-07-04,한식
일반음식점,1994-05-21,유전,서울특별시 성동구 마장로 202-1 (홍익동),34.02,2012-10-18,한식
일반음식점,1994-04-07,진미곱창,서울특별시 성동구 장터길 47 (금호동3가),32.67,1994-04-07,한식
일반음식점,1994-01-28,행당순대국,"서울특별시 성동구 행당로17길 5 (행당동, 317-90 지상1층)",15.95,2011-11-30,한식
일반음식점,1995-08-02,네네치킨 행당점,"서울특별시 성동구 왕십리로21길 25 (행당동,,81)",25.74,2007-04-11,통닭(치킨)
일반음식점,1995-05-24,만나식당,"서울특별시 성동구 왕십리로21길 20, 1층 (행당동)",52,1995-05-24,분식
일반음식점,1995-07-07,한양스넥,서울특별시 성동구 왕십리로 222 (행당동),56.06,2005-05-07,분식
일반음식점,1995-07-06,성수감자국전문식당,서울특별시 성동구 연무장길 45 (성수동2가),148,1998-06-18,한식
일반음식점,1995-06-07,비어오크,서울특별시 성동구 마장로 296 (마장동),41.34,2006-09-12,호프/통닭
일반음식점,1995-12-21,향토칼국수,"서울특별시 성동구 성수이로 108 (성수동2가, 성수2가 277-81,117 지상1층)",27.3,2011-11-09,분식
일반음식점,1995-12-22,싱싱횟집,서울특별시 성동구 성덕정길 90 (성수동2가),21.95,2005-07-29,일식
일반음식점,1995-04-15,조마루 감자탕,"서울특별시 성동구 무학로2길 46 (도선동,,67-1(지상1층))",124.64,2009-12-08,정종/대포집/소주방
일반음식점,1995-06-01,산마을순대국,"서울특별시 성동구 행당로1길 21-6 (금호동1가,지상1층)",36.23,2004-10-27,한식
일반음식점,1995-09-12,조은식당,서울특별시 성동구 마장로 187-2 (홍익동),22.37,2006-06-29,한식
일반음식점,1995-12-08,경수식당,서울특별시 성동구 성수이로16길 25 (성수동2가),31.08,1995-12-08,한식
일반음식점,1995-10-25,삼천리식당,,21.46,1995-10-25,한식
일반음식점,1995-07-26,풍년식당,서울특별시 성동구 고산자로26길 15 (마장동),55.12,2000-07-24,한식
일반음식점,1995-07-01,다현목포낙지,"서울특별시 성동구 왕십리로24길 9 (도선동,지상1층)",89.82,2005-08-19,한식
일반음식점,1995-07-28,태양각,서울특별시 성동구 아차산로7길 19 (성수동2가),82.82,1996-12-03,중국식
일반음식점,1995-04-12,장군갈비,서울특별시 성동구 독서당로 194-1 (옥수동),93.75,2002-11-02,한식
일반음식점,1995-06-14,풍년정,서울특별시 성동구 용답중앙15길 15-2 (용답동),79.56,1996-11-04,한식
일반음식점,1996-11-22,진서방곱돌이네,서울특별시 성동구 마조로 15-12 (행당동),62.4,2011-04-20,정종/대포집/소주방
일반음식점,1996-04-15,니키,서울특별시 성동구 장터길 10-1 (금호동4가),65.03,2010-07-12,호프/통닭
